layer_idx,neuron_idx,assigned_value
0,21,0.0003507137298583
0,23,0.0001548528671264
0,33,0.0002021789550781
0,47,0.0001067519187927
0,48,0.0004661083221435
0,55,0.0004446506500244
0,58,0.0003542900085449
0,66,0.0006113052368164
0,76,0.0003077983856201
0,85,8.958578109741211e-05
0,94,0.0007510185241699
0,96,0.0007696151733398
0,115,5.120038986206055e-05
0,126,0.0003495216369628
0,144,0.0004963874816894
0,153,0.0005321502685546
0,156,0.0003557205200195
0,168,0.000136375427246
0,176,0.0006585121154785
0,177,0.0007252693176269
0,191,8.33272933959961e-05
0,199,0.0005393028259277
0,200,3.1888484954833984e-05
0,201,0.0003814697265625
0,206,0.0010404586791992
0,221,0.0002009868621826
0,226,0.000179648399353
0,235,4.45246696472168e-05
0,239,0.0004534721374511
0,244,0.0002046823501586
0,249,0.000112771987915
0,250,0.0009074211120605
0,261,0.0007457733154296
0,269,0.0001935958862304
0,281,0.0002532005310058
0,290,0.0002319812774658
0,298,9.876489639282228e-05
0,299,0.0003466606140136
0,300,0.0005083084106445
0,301,0.0002493858337402
0,321,0.0004572868347167
0,346,0.0005054473876953
0,349,0.0002044439315795
0,352,0.0002089738845825
0,360,0.0005989074707031
0,368,0.0002927780151367
0,375,0.0013246536254882
0,387,0.0001692771911621
0,395,0.0001925230026245
0,406,9.065866470336914e-05
0,410,0.0003409385681152
0,416,8.755922317504883e-05
0,426,0.0001993179321289
0,429,0.0015926361083984
0,436,0.0002259016036987
0,439,0.0003573894500732
0,447,0.0006861686706542
0,456,0.0002572536468505
0,475,0.0005421638488769
0,480,0.0001503229141235
0,499,0.0004200935363769
0,509,0.0002791881561279
0,513,8.535385131835938e-05
0,522,0.0001082420349121
0,534,0.00048828125
0,553,0.0003497600555419
0,554,0.000199556350708
0,559,0.000617504119873
0,575,0.0005946159362792
0,580,8.100271224975586e-05
0,582,0.0004186630249023
0,585,0.000450849533081
0,592,9.447336196899414e-05
0,597,0.0005497932434082
0,599,0.000474214553833
0,605,0.0005850791931152
0,607,0.0008749961853027
0,624,0.0002906322479248
0,642,0.0004687309265136
0,648,0.0006995201110839
0,650,0.0002303123474121
0,657,7.104873657226562e-05
0,686,6.115436553955078e-05
0,710,8.279085159301758e-05
0,714,0.0001136660575866
0,716,3.767013549804688e-05
0,718,6.908178329467773e-05
0,724,0.0006966590881347
0,725,0.0005674362182617
0,736,0.0001637935638427
0,743,0.0012531280517578
0,751,0.0006189346313476
0,756,5.877017974853516e-05
0,762,7.700920104980469e-05
0,767,8.809566497802734e-05
0,775,0.0005989074707031
0,781,0.0001252889633178
0,787,5.7637691497802734e-05
0,789,0.0001801252365112
0,790,0.0003790855407714
0,793,0.000231385231018
0,809,8.380413055419922e-05
0,816,0.0002963542938232
0,836,0.0006012916564941
0,837,0.0001133680343627
0,838,0.000281810760498
0,877,0.0004181861877441
0,880,0.0004146099090576
0,885,0.0013446807861328
0,893,0.00034761428833
0,898,0.0002410411834716
0,905,0.0005459785461425
0,922,0.0001988410949707
0,924,0.0002397298812866
0,929,0.0002517700195312
0,969,0.0004234313964843
0,989,0.0007839202880859
0,995,0.0006489753723144
0,1011,0.0007224082946777
0,1035,0.0015983581542968
0,1042,0.000800609588623
0,1050,0.0012168884277343
0,1055,0.0006098747253417
0,1062,0.0003993511199951
0,1065,0.0001163482666015
0,1066,0.0002655982971191
0,1069,0.0008449554443359
0,1075,0.0004334449768066
0,1095,0.0018043518066406
0,1104,0.0001298189163208
0,1121,0.0004703998565673
0,1136,0.0008258819580078
0,1139,0.0002268552780151
0,1141,0.0005321502685546
0,1157,0.0002586841583251
0,1167,0.001082420349121
0,1175,0.0009593963623046
0,1176,0.000182032585144
0,1196,0.0001308917999267
0,1200,0.0001797676086425
0,1203,0.0004887580871582
0,1211,0.0006346702575683
0,1212,0.0006356239318847
0,1214,0.0002124309539794
0,1259,0.0004465579986572
0,1262,0.0001959800720214
0,1289,0.0004518032073974
0,1294,5.930662155151367e-05
0,1301,0.0014114379882812
