layer_idx,neuron_idx,assigned_value
31,2845,-0.002197265625
22,11427,0.0020008087158203
25,8665,-0.0003600120544433
17,13685,0.00714111328125
17,4236,0.0018568038940429
2,13003,0.0001250505447387
12,13691,0.0009212493896484
19,525,0.0108413696289062
9,12238,0.0027751922607421
9,2789,0.0066337585449218
4,12244,0.001016616821289
7,11737,0.0180816650390625
29,2636,0.02435302734375
24,2642,0.00054931640625
6,6974,0.0019359588623046
10,11230,0.0016860961914062
26,2314,0.0112686157226562
16,10644,0.0035228729248046
11,3884,0.017059326171875
22,11590,0.0136337280273437
7,9777,0.0151443481445312
13,143,0.0103683471679687
11,10650,0.000676155090332
12,7088,0.0018539428710937
24,13514,0.0021858215332031
19,6754,0.038970947265625
23,7627,0.023162841796875
9,2252,0.0068168640136718
20,9958,0.0001899003982543
14,10143,0.0029125213623046
10,12653,0.0027046203613281
0,4768,-3.832578659057617e-05
26,7120,0.0149688720703125
22,9630,0.0057601928710937
27,3558,0.0047264099121093
21,5995,0.0066566467285156
13,11015,0.0073165893554687
25,6868,0.010711669921875
11,8690,0.0066642761230468
11,12073,0.0132293701171875
3,7644,0.0004119873046875
9,7058,0.0051498413085937
5,10699,0.0010395050048828
9,13824,0.00372314453125
27,1598,0.0051345825195312
1,377,0.000159740447998
0,9574,0.0004186630249023
0,12957,0.0001121163368225
12,6551,-0.0001245737075805
21,14184,0.001739501953125
28,1018,0.0045394897460937
31,13343,0.0240020751953125
1,1800,0.0027484893798828
25,6331,0.0177764892578125
0,1548,0.0001115798950195
11,2087,0.0022487640380859
12,11357,0.0001671314239501
12,1908,0.004791259765625
2,4603,0.0006122589111328
18,11902,0.0074234008789062
19,8340,0.0014467239379882
19,11723,0.0014028549194335
15,14233,0.0003867149353027
27,11210,0.0030956268310546
1,9989,0.0030536651611328
0,6354,0.0002470016479492
26,5323,0.0134048461914062
22,7833,0.0065650939941406
17,6708,0.0124130249023437
16,13653,0.0101547241210937
8,5841,0.017059326171875
7,12786,0.0058746337890625
18,493,0.0046882629394531
9,8644,0.0093154907226562
4,1884,0.0001484155654907
17,11514,0.0153656005859375
7,14209,0.0124664306640625
8,10647,0.0032806396484375
15,4247,0.0036430358886718
