layer_idx,neuron_idx,assigned_value
0,2,-0.0003228187561035
0,4,-0.0002192258834838
0,19,-0.0002131462097167
0,29,-0.0001440048217773
0,40,-0.0001341104507446
0,49,-0.0003478527069091
0,56,-2.4974346160888672e-05
0,68,-0.0004262924194335
0,74,-0.0001358985900878
0,79,-0.0014076232910156
0,87,-0.0007758140563964
0,88,-0.0013313293457031
0,89,-0.0017709732055664
0,91,-0.00022554397583
0,101,-0.0003256797790527
0,103,-0.0007815361022949
0,106,-0.0017099380493164
0,108,-0.0014858245849609
0,121,-0.0005221366882324
0,128,-0.000333547592163
0,129,-0.0009236335754394
0,137,-1.8656253814697266e-05
0,139,-0.0002349615097045
0,145,-0.0002213716506958
0,160,-0.0014591217041015
0,164,-0.0007510185241699
0,180,-0.0001261234283447
0,193,-0.000533103942871
0,202,-0.0007076263427734
0,205,-0.0005712509155273
0,219,-0.0003786087036132
0,230,-0.0001287460327148
0,233,-0.0005583763122558
0,236,-0.0001859664916992
0,251,-0.0004241466522216
0,267,-0.0010986328125
0,276,-0.0001081228256225
0,283,-0.0006694793701171
0,285,-0.0002720355987548
0,306,-0.000955581665039
0,325,-0.0001924037933349
0,331,-0.0001419782638549
0,341,-0.0003540515899658
0,363,-0.0004394054412841
0,369,-0.0009083747863769
0,372,-0.0010662078857421
0,383,-0.0007915496826171
0,386,-5.316734313964844e-05
0,396,-0.0011262893676757
0,398,-0.0009627342224121
0,402,-0.0004830360412597
0,407,-0.0005469322204589
0,420,-0.0003421306610107
0,425,-0.0004065036773681
0,441,-0.0001238584518432
0,444,-0.0003604888916015
0,446,-0.0017433166503906
0,450,-0.002511978149414
0,461,-0.0009803771972656
0,474,-0.0003368854522705
0,482,-0.0004866123199462
0,487,-0.0003414154052734
0,519,-0.0003178119659423
0,546,-0.0007352828979492
0,563,-0.0002291202545166
0,568,-0.000704288482666
0,586,-0.0006265640258789
0,612,-0.0008482933044433
0,617,-0.000196099281311
0,619,-0.0014581680297851
0,636,-0.0003266334533691
0,638,-0.0005054473876953
0,639,-0.0003762245178222
0,641,-0.0004699230194091
0,656,-0.0008573532104492
0,662,-9.310245513916016e-05
0,673,-0.0005111694335937
0,695,-0.0002095699310302
0,698,-0.0002006292343139
0,699,-0.0007915496826171
0,705,-0.0001817941665649
0,727,-0.000300645828247
0,728,-0.0003726482391357
0,735,-0.0002204179763793
0,769,-0.0002510547637939
0,774,-0.0003378391265869
0,777,-5.012750625610352e-05
0,785,-0.0004439353942871
0,802,-0.001133918762207
0,807,-0.0001412630081176
0,817,-0.0003280639648437
0,818,-0.0003461837768554
0,819,-3.594160079956055e-05
0,829,-0.0002059936523437
0,841,-0.0004146099090576
0,846,-6.842613220214844e-05
0,848,-0.0003035068511962
0,860,-0.0001453161239624
0,873,-0.0001279115676879
0,878,-0.0004725456237792
0,882,-0.0023078918457031
0,903,-0.000518798828125
0,911,-0.0007910728454589
0,912,-7.551908493041992e-05
0,925,-0.0007991790771484
0,937,-0.0001533031463623
0,948,-0.001251220703125
0,954,-0.0003488063812255
0,958,-0.0007262229919433
0,967,-0.0002501010894775
0,975,-0.0003254413604736
0,976,-0.000328779220581
0,977,-0.0006675720214843
0,988,-0.0003671646118164
0,991,-0.0007028579711914
0,1016,-0.0006723403930664
0,1019,-0.0017261505126953
0,1030,-0.0002768039703369
0,1037,-0.0001052021980285
0,1058,-0.000233769416809
0,1067,-0.0021114349365234
0,1071,-7.241964340209961e-05
0,1081,-0.0004873275756835
0,1096,-0.0007815361022949
0,1112,-0.000474214553833
0,1138,-9.65595245361328e-05
0,1140,-0.0008292198181152
0,1144,-0.0002100467681884
